# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-4 -7 3 ffffff
-3 -7 3 ffffff
-2 -7 3 ffffff
-1 -7 3 ffffff
-9 -6 3 ffffff
-9 -5 3 ffffff
-9 -4 3 ffffff
-9 -3 3 ffffff
-9 -2 3 ffffff
-9 -1 3 ffffff
-9 -7 4 0000ff
-8 -7 4 0000ff
-7 -7 4 0000ff
-6 -7 4 0000ff
-5 -7 4 0000ff
-4 -7 4 0000ff
-3 -7 4 0000ff
-2 -7 4 0000ff
-1 -7 4 0000ff
-9 -6 4 0000ff
-8 -6 4 0000ff
-7 -6 4 0000ff
-6 -6 4 0000ff
-5 -6 4 0000ff
-4 -6 4 0000ff
-3 -6 4 0000ff
-2 -6 4 0000ff
-1 -6 4 0000ff
-9 -5 4 0000ff
-8 -5 4 0000ff
-7 -5 4 0000ff
-6 -5 4 0000ff
-5 -5 4 0000ff
-4 -5 4 0000ff
-3 -5 4 0000ff
-2 -5 4 0000ff
-1 -5 4 0000ff
-9 -4 4 0000ff
-8 -4 4 0000ff
-7 -4 4 0000ff
-6 -4 4 0000ff
-5 -4 4 0000ff
-4 -4 4 0000ff
-3 -4 4 0000ff
-2 -4 4 0000ff
-1 -4 4 0000ff
-9 -3 4 0000ff
-8 -3 4 0000ff
-7 -3 4 0000ff
-6 -3 4 0000ff
-5 -3 4 0000ff
-4 -3 4 0000ff
-3 -3 4 0000ff
-2 -3 4 0000ff
-1 -3 4 0000ff
-9 -2 4 0000ff
-8 -2 4 0000ff
-7 -2 4 0000ff
-6 -2 4 0000ff
-5 -2 4 0000ff
-4 -2 4 0000ff
-3 -2 4 0000ff
-2 -2 4 0000ff
-1 -2 4 0000ff
-9 -1 4 0000ff
-8 -1 4 0000ff
-7 -1 4 0000ff
-6 -1 4 0000ff
-5 -1 4 0000ff
-4 -1 4 0000ff
-3 -1 4 0000ff
-2 -1 4 0000ff
-1 -1 4 0000ff
-9 0 0 ffffff
-8 0 0 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-5 0 0 ffffff
-4 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-1 0 0 ffffff
-9 1 0 ffffff
-8 1 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-5 1 0 ffffff
-4 1 0 ffffff
-3 1 0 ffffff
-2 1 0 ffffff
-1 1 0 ffffff
-9 2 0 ffffff
-8 2 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-5 2 0 ffffff
-4 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-9 3 0 ffffff
-8 3 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-5 3 0 ffffff
-4 3 0 ffffff
-3 3 0 ffffff
-2 3 0 ffffff
-1 3 0 ffffff
-9 4 0 ffffff
-8 4 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-5 4 0 ffffff
-4 4 0 ffffff
-3 4 0 ffffff
-2 4 0 ffffff
-1 4 0 ffffff
-9 0 1 ffffff
-9 1 1 ff0000
-9 2 1 ffffff
-9 3 1 ffffff
-9 4 1 ffffff
-8 4 1 ffffff
-7 4 1 ffffff
-6 4 1 ffffff
-5 4 1 ffffff
-4 4 1 ffffff
-3 4 1 ffffff
-2 4 1 ffffff
-1 4 1 ffffff
-9 0 2 ffffff
-9 1 2 ff0000
-9 2 2 ffffff
-9 3 2 ffffff
-9 4 2 ffffff
-8 4 2 0000ff
-7 4 2 ffffff
-6 4 2 0000ff
-5 4 2 ffffff
-4 4 2 0000ff
-3 4 2 ffffff
-2 4 2 0000ff
-1 4 2 ffffff
-9 0 3 ffffff
-9 1 3 ffffff
-9 2 3 ffffff
-9 3 3 ffffff
-9 4 3 ffffff
-8 4 3 ffffff
-7 4 3 ffffff
-6 4 3 ffffff
-5 4 3 ffffff
-4 4 3 ffffff
-3 4 3 ffffff
-2 4 3 ffffff
-1 4 3 ffffff
-9 0 4 0000ff
-8 0 4 0000ff
-7 0 4 0000ff
-6 0 4 0000ff
-5 0 4 0000ff
-4 0 4 0000ff
-3 0 4 0000ff
-2 0 4 0000ff
-1 0 4 0000ff
-9 1 4 0000ff
-8 1 4 0000ff
-7 1 4 0000ff
-6 1 4 0000ff
-5 1 4 0000ff
-4 1 4 0000ff
-3 1 4 0000ff
-2 1 4 0000ff
-1 1 4 0000ff
-9 2 4 0000ff
-8 2 4 0000ff
-7 2 4 0000ff
-6 2 4 0000ff
-5 2 4 0000ff
-4 2 4 0000ff
-3 2 4 0000ff
-2 2 4 0000ff
-1 2 4 0000ff
-9 3 4 0000ff
-8 3 4 0000ff
-7 3 4 0000ff
-6 3 4 0000ff
-5 3 4 0000ff
-4 3 4 0000ff
-3 3 4 0000ff
-2 3 4 0000ff
-1 3 4 0000ff
-9 4 4 0000ff
-8 4 4 0000ff
-7 4 4 0000ff
-6 4 4 0000ff
-5 4 4 0000ff
-4 4 4 0000ff
-3 4 4 0000ff
-2 4 4 0000ff
-1 4 4 0000ff
0 0 0 ffffff
1 0 0 ffffff
2 0 0 ffffff
3 0 0 ffffff
4 0 0 ffffff
0 1 0 ffffff
1 1 0 ffffff
2 1 0 ffffff
3 1 0 ffffff
4 1 0 ffffff
0 2 0 ffffff
1 2 0 ffffff
2 2 0 ffffff
3 2 0 ffffff
4 2 0 ffffff
0 3 0 ffffff
1 3 0 ffffff
2 3 0 ffffff
3 3 0 ffffff
4 3 0 ffffff
0 4 0 ffffff
1 4 0 ffffff
2 4 0 ffffff
3 4 0 ffffff
4 4 0 ffffff
4 0 1 ffffff
4 1 1 ffffff
4 2 1 ffffff
4 3 1 ffffff
0 4 1 ffffff
1 4 1 ffffff
2 4 1 ffffff
3 4 1 ffffff
4 4 1 ffffff
4 0 2 0000ff
4 1 2 ffffff
4 2 2 0000ff
4 3 2 ffffff
0 4 2 0000ff
1 4 2 ffffff
2 4 2 0000ff
3 4 2 ffffff
4 4 2 ffffff
4 0 3 ffffff
4 1 3 ffffff
4 2 3 ffffff
4 3 3 ffffff
0 4 3 ffffff
1 4 3 ffffff
2 4 3 ffffff
3 4 3 ffffff
4 4 3 ffffff
0 0 4 0000ff
1 0 4 0000ff
2 0 4 0000ff
3 0 4 0000ff
4 0 4 0000ff
0 1 4 0000ff
1 1 4 0000ff
2 1 4 0000ff
3 1 4 0000ff
4 1 4 0000ff
0 2 4 0000ff
1 2 4 0000ff
2 2 4 0000ff
3 2 4 0000ff
4 2 4 0000ff
0 3 4 0000ff
1 3 4 0000ff
2 3 4 0000ff
3 3 4 0000ff
4 3 4 0000ff
0 4 4 0000ff
1 4 4 0000ff
2 4 4 0000ff
3 4 4 0000ff
4 4 4 0000ff
0 -7 0 ffffff
1 -7 0 ffffff
2 -7 0 ffffff
3 -7 0 ffffff
4 -7 0 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
2 -6 0 ffffff
3 -6 0 ffffff
4 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
2 -5 0 ffffff
3 -5 0 ffffff
4 -5 0 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
2 -4 0 ffffff
3 -4 0 ffffff
4 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
2 -3 0 ffffff
3 -3 0 ffffff
4 -3 0 ffffff
0 -2 0 ffffff
1 -2 0 ffffff
2 -2 0 ffffff
3 -2 0 ffffff
4 -2 0 ffffff
0 -1 0 ffffff
1 -1 0 ffffff
2 -1 0 ffffff
3 -1 0 ffffff
4 -1 0 ffffff
0 -7 1 ff0000
1 -7 1 ffffff
2 -7 1 ffffff
3 -7 1 ffffff
4 -7 1 ffffff
4 -6 1 ffffff
4 -5 1 ffffff
4 -4 1 ffffff
4 -3 1 ffffff
4 -2 1 ffffff
4 -1 1 ffffff
0 -7 2 ff0000
1 -7 2 ffffff
2 -7 2 ffffff
3 -7 2 ffffff
4 -7 2 ffffff
4 -6 2 0000ff
4 -5 2 ffffff
4 -4 2 0000ff
4 -3 2 ffffff
4 -2 2 0000ff
4 -1 2 ffffff
0 -7 3 ffffff
1 -7 3 ffffff
2 -7 3 ffffff
3 -7 3 ffffff
4 -7 3 ffffff
4 -6 3 ffffff
4 -5 3 ffffff
4 -4 3 ffffff
4 -3 3 ffffff
4 -2 3 ffffff
4 -1 3 ffffff
0 -7 4 0000ff
1 -7 4 0000ff
2 -7 4 0000ff
3 -7 4 0000ff
4 -7 4 0000ff
0 -6 4 0000ff
1 -6 4 0000ff
2 -6 4 0000ff
3 -6 4 0000ff
4 -6 4 0000ff
0 -5 4 0000ff
1 -5 4 0000ff
2 -5 4 0000ff
3 -5 4 0000ff
4 -5 4 0000ff
0 -4 4 0000ff
1 -4 4 0000ff
2 -4 4 0000ff
3 -4 4 0000ff
4 -4 4 0000ff
0 -3 4 0000ff
1 -3 4 0000ff
2 -3 4 0000ff
3 -3 4 0000ff
4 -3 4 0000ff
0 -2 4 0000ff
1 -2 4 0000ff
2 -2 4 0000ff
3 -2 4 0000ff
4 -2 4 0000ff
0 -1 4 0000ff
1 -1 4 0000ff
2 -1 4 0000ff
3 -1 4 0000ff
4 -1 4 0000ff
